ward,year,category,location,cost
1,2012,Alley Resurfacing,N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE &,6354.0
1,2012,Alley Speed Hump,N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W,2800.0
1,2012,Bollard,ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV,3150.0
1,2012,Curb & Gutter,ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W,19882.0
1,2012,Pavement Markings,W CHARLESTON ST & N WESTERN AVE,1000.0
1,2012,Pavement Markings,W ARMITAGE AVE & N MILWAUKEE AVE,400.0
1,2012,Pavement Markings,W DIVERSEY PKWY & N ROCKWELL ST,600.0
1,2012,Sidewalk,ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N,11954.0
1,2012,Sidewalk,ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE,10065.0
1,2012,Sidewalk,ON N MARION CT FROM W DIVISION ST (1200 N) TO W,1594.0
1,2012,Street Resurfacing,ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W,193749.0
1,2012,Street Resurfacing,ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W,73623.0
1,2012,Street Resurfacing,ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End,10588.0
1,2012,Street Resurfacing,ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N,19195.0
1,2012,Street Resurfacing,ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO,34143.0
1,2012,Street Resurfacing,ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO,47986.0
1,2012,Street Speed Hump,ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W,3700.0
1,2012,Street Speed Hump,ON N MARION CT FROM W DIVISION ST (1200 N) TO W,3700.0
1,2012,Street Speed Hump,ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W,3700.0
1,2012,Street Speed Hump,ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N,3700.0
1,2012,Floodlight,W POTOMAC AVE & N LEAVITT ST,2500.0
1,2012,Floodlight,N CAMPBELL AVE & W IOWA ST,500.0
1,2012,Pedestrian Countdown,N WESTERN AVE & W NORTH AVE,15011.0
1,2012,Street Light Arterial,W POTOMAC AVE & N LEAVITT ST,11000.0
1,2012,Street Light Residential,ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO,128000.0
1,2012,Street Light Upgrade,ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W,1400.0
1,2012,Street Light Upgrade,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS,700.0
1,2012,Street Light Upgrade,ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W,350.0
1,2012,Street Light Upgrade,1300 N LEAVITT ST,700.0
1,2012,Street Light Upgrade,N CAMPBELL AVE & W IOWA ST,400.0
1,2012,Street Light Upgrade,ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST,1400.0
1,2012,Chicago Park District,Haas Park Field House,605000.0
1,2012,School Projects,Goethe School - Campus Park,100000.0
1,2012,School Projects,"LaSalle II Elementary School - playground )TPC=$25,000 2011-2013",25000.0
2,2012,Alley Apron,ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W),11547.0
2,2012,Alley Apron,ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S),11545.0
2,2012,Alley Apron,ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S),8268.0
2,2012,Alley Apron,ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S),9686.0
2,2012,Alley Resurfacing,W MADISON ST & W MONROE ST & S WESTERN AVE & S,39539.0
2,2012,Alley Resurfacing,ON LOOMIS FROM W TAYLOR ST (1000 S) TO W FILLMORE,6638.0
2,2012,Alley Resurfacing,S MORGAN ST & S SANGAMON ST & W MONROE ST & W,12736.0
2,2012,Alley Resurfacing,S WABASH AVE & S WABASH AVE & E CERMAK RD & E,2981.0
2,2012,Bollard,ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S),800.0
2,2012,Curb & Gutter,ON S CALUMET AVE FROM E 18TH ST (1800 S) TO E,2506.0
2,2012,Curb & Gutter,ON W HARRISON ST FROM S WASHTENAW AV (2700 W) TO S,73623.0
2,2012,Miscellaneous Other,Temporary Parking signs in WEst Loop,10000.0
2,2012,Miscellaneous Other,Congress Pkwy - Michigan and Wells Landscape & LED preservation,117050.0
2,2012,Miscellaneous Other,Martin Luther King Boulevard artwork installation,30000.0
2,2012,Sidewalk,ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S),29712.0
2,2012,Sidewalk,ON N FRANCISCO AVE FROM W WARREN BV (23 N) TO W,3797.0
2,2012,Sidewalk,ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S,21113.0
2,2012,Sidewalk,800 S STATE ST,3394.0
2,2012,Sidewalk,ON N CALIFORNIA AVE FROM W WASHINGTON BV (100 N),215.0
2,2012,Sidewalk,ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN,19182.0
2,2012,Street Resurfacing,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE,107489.0
2,2012,Street Resurfacing,ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S,66167.0
2,2012,Street Resurfacing,ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead,135686.0
2,2012,Street Resurfacing,ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W,35504.0
2,2012,Street Resurfacing,ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W,108718.0
2,2012,Floodlight,ON LAKE FROM N ALBANY AV (3100 W) TO N,5500.0
2,2012,Left-Turn Arrow,S CLARK ST & W HARRISON ST,11500.0
2,2012,Street Light Piggy Back,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S,5400.0
2,2012,Street Light Piggy Back,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),8100.0
2,2012,Street Light Pole Painting,ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST,1500.0
2,2012,Street Light Pole Painting,ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S,6600.0
2,2012,Street Light Pole Painting,ON VAN BUREN FROM S FRANKLIN ST (300 W) TO S,2400.0
2,2012,Street Light Pole Painting,ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W,1800.0
2,2012,Street Light Pole Painting,ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV,5000.0
2,2012,Street Light Pole Painting,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD,12000.0
2,2012,Street Light Pole Painting,ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W,2400.0
2,2012,Street Light Pole Painting,ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E,18500.0
2,2012,Street Light Pole Painting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),4200.0
2,2012,Street Light Pole Painting,ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON,3600.0
2,2012,Street Light Pole Painting,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST,14100.0
2,2012,Street Light Pole Painting,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST,2400.0
2,2012,Street Light Pole Painting,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN,12600.0
2,2012,Street Light Pole Painting,ON VAN BUREN FROM S STATE ST (0 E) TO S CONGRESS,8600.0
2,2012,Street Light Pole Painting,ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST,2400.0
2,2012,Street Light Pole Painting,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST,3300.0
2,2012,Street Light Pole Painting,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W,1200.0
2,2012,Street Light Pole Painting,ON LAKE FROM N ALBANY AV (3100 W) TO N,6000.0
2,2012,Street Light Pole Painting,ON TAYLOR FROM S LOOMIS ST (1400 W) TO S RACINE AV,7500.0
2,2012,Street Light Pole Painting,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S,6000.0
2,2012,Street Light Pole Painting,ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S,24000.0
2,2012,Street Light Pole Painting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E,5700.0
2,2012,Street Light Pole Painting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S,1500.0
2,2012,Street Light Pole Painting,ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N,2400.0
2,2012,Street Light Pole Painting,ON S WOOD ST FROM W ROOSEVELT RD (1200 S) TO W,1200.0
2,2012,Street Light Upgrade,ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST,3200.0
2,2012,Street Light Upgrade,ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON,4000.0
2,2012,Street Light Upgrade,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W,2400.0
2,2012,Street Light Upgrade,ON ADAMS FROM S LEAVITT ST (2200 W) TO S SEELEY AV,1750.0
2,2012,Street Light Upgrade,ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S,6000.0
2,2012,Street Light Upgrade,317 S CAMPBELL AVE,350.0
2,2012,Street Light Upgrade,201 S ASHLAND AVE,350.0
2,2012,Street Light Upgrade,ON 11 FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E),400.0
2,2012,Street Light Upgrade,ON POLK FROM S STATE ST (0 E) TO S FINANCIAL PL (146,1200.0
2,2012,Street Light Upgrade,ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W,2400.0
2,2012,Street Light Upgrade,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST,4400.0
2,2012,Street Light Upgrade,157 S ASHLAND AVE,350.0
2,2012,Street Light Upgrade,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST,18800.0
2,2012,Street Light Upgrade,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD,14000.0
2,2012,Street Light Upgrade,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST,3200.0
2,2012,Street Light Upgrade,ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W,3200.0
2,2012,Street Light Upgrade,3550 S GILES AVE,350.0
2,2012,Street Light Upgrade,ON BALBO FROM S STATE ST (0 E) TO S MICHIGAN AV (120,1600.0
2,2012,Street Light Upgrade,ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST,1600.0
2,2012,Street Light Upgrade,ON CONGRESS FROM S MORGAN ST (1000 W) TO E,7600.0
2,2012,Street Light Upgrade,ON VAN BUREN FROM S LEAVITT ST (2200 W) TO S SEELEY,1750.0
2,2012,Street Light Upgrade,ON HARRISON FROM S STATE ST (0 E) TO S WABASH AV (44,400.0
2,2012,Street Light Upgrade,ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N,2000.0
2,2012,Street Light Upgrade,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT,18000.0
2,2012,Street Light Upgrade,ON S WOOD ST FROM W TAYLOR ST (1000 S) TO W,1200.0
2,2012,Street Light Upgrade,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),4800.0
2,2012,Street Light Upgrade,ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST,1400.0
2,2012,Street Light Upgrade,ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV,6400.0
2,2012,Street Light Upgrade,1319 S STATE ST,21000.0
2,2012,Street Light Upgrade,547 S CLARK ST,350.0
2,2012,Street Light Upgrade,ON LAKE FROM N MOZART ST (2832 W) TO N SACRAMENTO,8000.0
2,2012,Street Light Upgrade,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S,8000.0
2,2012,Street Light Upgrade,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN,12000.0
2,2012,Street Light Upgrade,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S,2000.0
2,2012,Street Light Upgrade,ON SEELEY FROM W JACKSON BV (300 S) TO W VAN BUREN,1400.0
2,2012,Street Light Upgrade,ON MONROE FROM S RACINE AV (1200 W) TO S GREEN ST,5250.0
2,2012,Street Light Upgrade,ON VAN BUREN FROM S GREEN ST (832 W) TO W TILDEN ST,5600.0
2,2012,Traffic Equipment,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN,2400.0
2,2012,Traffic Equipment,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),400.0
2,2012,Traffic Equipment,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST,2750.0
2,2012,Traffic Equipment,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST,200.0
2,2012,Traffic Equipment,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT,25650.0
2,2012,Traffic Equipment,ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S,11000.0
2,2012,Traffic Equipment,W ROOSEVELT RD & S WOOD ST,3500.0
2,2012,Traffic Equipment,ON STATE FROM W CONGRESS PW (500 S) TO W HARRISON,8000.0
2,2012,Traffic Equipment,ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E,19500.0
2,2012,Traffic Equipment,ON ASHLAND FROM W MADISON ST (0 N) TO W,5450.0
2,2012,Traffic Equipment,W ROOSEVELT RD & S PAULINA ST,3500.0
2,2012,Traffic Equipment,W ROOSEVELT RD & S ASHLAND W AVE,3500.0
2,2012,Traffic Equipment,ON JEFFERSON FROM W MADISON ST (0 N) TO W ADAMS ST,1550.0
3,2012,Alley Apron,ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S),8666.0
3,2012,Concrete Alley,1503 S State,216149.0
3,2012,Curb & Gutter,ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44,51363.0
3,2012,Curb & Gutter,ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 50TH,23977.0
3,2012,"In-Road ""State Law Stop",S STATE ST & W 23RD ST,550.0
3,2012,Miscellaneous Other,"4501-33 & 4524-50 S McDowell, & 1400 W 46th St Tree planting",14166.0
3,2012,Miscellaneous Other,4434 S DR MARTIN LUTHER KING JR DR,413.0
3,2012,Miscellaneous Other,4700 S LASALLE ST Decorative Plaza Planter Fencing,3370.0
3,2012,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,680.0
3,2012,Miscellaneous Other,8 decorative garbage cans decorative garbage cans,11450.0
3,2012,Pavement Markings,W 46TH PL & S SHIELDS AVE,300.0
3,2012,Sidewalk,ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST,11175.0
3,2012,Sidewalk,ON W SWANN ST FROM S PRINCETON AV (300 W) TO S,643.0
3,2012,Sidewalk,ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S),8979.0
3,2012,Sidewalk,ON E 50TH PL FROM S WASHINGTON PK (432 E) TO S,30507.0
3,2012,Sidewalk,ON S SHIELDS AVE FROM W SWANN ST (4642 S) TO W 47 ST,22651.0
3,2012,Street Resurfacing,ON E 42ND ST FROM S STATE ST (0 E) TO S MICHIGAN AV,94958.0
3,2012,Street Resurfacing,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),6790.0
3,2012,Street Resurfacing,ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41,135801.0
3,2012,Street Resurfacing,ON S PRINCETON AVE FROM W ROOT ST (4134 S) TO W 43 ST,176667.0
3,2012,Street Resurfacing,ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S),106066.0
3,2012,Street Resurfacing,ON S PRAIRIE AVE FROM E 48 ST (4800 S) TO E 51 ST (5100 S),188861.0
3,2012,Street Speed Hump,ON S CALUMET AVE FROM E 43 ST (4300 S) TO E 44 ST (4400,3700.0
3,2012,Street Speed Hump,ON S FEDERAL ST FROM W 13 ST (1299 S) TO W 14 ST (1400 S),5550.0
3,2012,Street Speed Hump,ON S LAFLIN ST FROM W 46 ST (4600 S) TO W 47 ST (4700 S),3700.0
3,2012,Floodlight,ON CULLERTON FROM S STATE ST (0 E) TO S WABASH AV Adding Floodlight with Mast Arm,1200.0
3,2012,Floodlight,ON 43 FROM S CALUMET AV (320 E) TO S PRAIRIE AV (236 E) Install floodlights on El tracks & New Controller,10000.0
3,2012,Street Light Residential,ON LAFAYETTE FROM W GARFIELD BV (5500 S) TO W 57 ST,128000.0
3,2012,Street Light Upgrade,342 W 42ND PL,350.0
3,2012,Street Light Upgrade,ON INDIANA FROM E 31 ST (3100 S) TO E GARFIELD BV (5500,43800.0
3,2012,Street Light Upgrade,501 E 44TH PL,350.0
3,2012,Street Light Upgrade,ON 43 FROM S MICHIGAN AV (120 E) TO S INDIANA AV (200,1800.0
