ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
1,2012,Alley Resurfacing,N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE &,6354.0,ward1_2017_001,True,,,0.0
1,2012,Alley Speed Hump,N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W,2800.0,ward1_2017_002,True,,,0.0
1,2012,Bollard,ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV,3150.0,ward1_2017_003,True,,,0.0
1,2012,Curb & Gutter,ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W,19882.0,ward1_2017_004,True,,,0.0
1,2012,Pavement Markings,W CHARLESTON ST & N WESTERN AVE,1000.0,ward1_2017_005,True,41.919980226726786,-87.6874868973139,0.95
1,2012,Pavement Markings,W ARMITAGE AVE & N MILWAUKEE AVE,400.0,ward1_2017_006,True,41.91756300197112,-87.68859598034832,0.95
1,2012,Pavement Markings,W DIVERSEY PKWY & N ROCKWELL ST,600.0,ward1_2017_007,True,41.93213022120513,-87.69277295923523,0.95
1,2012,Sidewalk,ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N,11954.0,ward1_2017_008,True,,,0.0
1,2012,Sidewalk,ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE,10065.0,ward1_2017_009,True,,,0.0
1,2012,Sidewalk,ON N MARION CT FROM W DIVISION ST (1200 N) TO W,1594.0,ward1_2017_010,True,,,0.0
1,2012,Street Resurfacing,ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W,193749.0,ward1_2017_011,True,,,0.0
1,2012,Street Resurfacing,ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W,73623.0,ward1_2017_012,True,,,0.0
1,2012,Street Resurfacing,ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End,10588.0,ward1_2017_013,True,,,0.0
1,2012,Street Resurfacing,ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N,19195.0,ward1_2017_014,True,,,0.0
1,2012,Street Resurfacing,ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO,34143.0,ward1_2017_015,True,,,0.0
1,2012,Street Resurfacing,ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO,47986.0,ward1_2017_016,True,,,0.0
1,2012,Street Speed Hump,ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W,3700.0,ward1_2017_017,True,,,0.0
1,2012,Street Speed Hump,ON N MARION CT FROM W DIVISION ST (1200 N) TO W,3700.0,ward1_2017_018,True,,,0.0
1,2012,Street Speed Hump,ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W,3700.0,ward1_2017_019,True,,,0.0
1,2012,Street Speed Hump,ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N,3700.0,ward1_2017_020,True,,,0.0
1,2012,Floodlight,W POTOMAC AVE & N LEAVITT ST,2500.0,ward1_2017_021,True,41.90492137839087,-87.68219368797513,0.95
1,2012,Floodlight,N CAMPBELL AVE & W IOWA ST,500.0,ward1_2017_022,True,41.89753475134079,-87.6893513588036,0.95
1,2012,Pedestrian Countdown,N WESTERN AVE & W NORTH AVE,15011.0,ward1_2017_023,True,,,0.0
1,2012,Street Light Arterial,W POTOMAC AVE & N LEAVITT ST,11000.0,ward1_2017_024,True,41.90492137839087,-87.68219368797513,0.95
1,2012,Street Light Residential,ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO,128000.0,ward1_2017_025,True,,,0.0
1,2012,Street Light Upgrade,ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W,1400.0,ward1_2017_026,True,,,0.0
1,2012,Street Light Upgrade,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS,700.0,ward1_2017_027,True,,,0.0
1,2012,Street Light Upgrade,ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W,350.0,ward1_2017_028,True,,,0.0
1,2012,Street Light Upgrade,1300 N LEAVITT ST,700.0,ward1_2017_029,True,41.90505545,-87.68246941,0.97
1,2012,Street Light Upgrade,N CAMPBELL AVE & W IOWA ST,400.0,ward1_2017_030,True,41.89753475134079,-87.6893513588036,0.95
1,2012,Street Light Upgrade,ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST,1400.0,ward1_2017_031,True,,,0.0
1,2012,Chicago Park District,Haas Park Field House,605000.0,ward1_2017_032,True,,,0.0
1,2012,School Projects,Goethe School - Campus Park,100000.0,ward1_2017_033,True,,,0.0
1,2012,School Projects,"LaSalle II Elementary School - playground )TPC=$25,000 2011-2013",25000.0,ward1_2017_034,True,,,0.0
2,2012,Alley Apron,ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W),11547.0,ward1_2017_035,True,,,0.0
2,2012,Alley Apron,ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S),11545.0,ward1_2017_036,True,,,0.0
2,2012,Alley Apron,ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S),8268.0,ward1_2017_037,True,,,0.0
2,2012,Alley Apron,ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S),9686.0,ward1_2017_038,True,,,0.0
2,2012,Alley Resurfacing,W MADISON ST & W MONROE ST & S WESTERN AVE & S,39539.0,ward1_2017_039,True,,,0.0
2,2012,Alley Resurfacing,ON LOOMIS FROM W TAYLOR ST (1000 S) TO W FILLMORE,6638.0,ward1_2017_040,True,41.8630019360778,-87.66146026667734,0.88
2,2012,Alley Resurfacing,S MORGAN ST & S SANGAMON ST & W MONROE ST & W,12736.0,ward1_2017_041,True,41.683604417211306,-87.64696745389695,0.95
2,2012,Alley Resurfacing,S WABASH AVE & S WABASH AVE & E CERMAK RD & E,2981.0,ward1_2017_042,True,41.714829382188654,-87.62065451089556,0.95
2,2012,Bollard,ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S),800.0,ward1_2017_043,True,,,0.0
2,2012,Curb & Gutter,ON S CALUMET AVE FROM E 18TH ST (1800 S) TO E,2506.0,ward1_2017_044,True,,,0.0
2,2012,Curb & Gutter,ON W HARRISON ST FROM S WASHTENAW AV (2700 W) TO S,73623.0,ward1_2017_045,True,,,0.0
2,2012,Miscellaneous Other,Temporary Parking signs in WEst Loop,10000.0,ward1_2017_046,True,,,0.0
2,2012,Miscellaneous Other,Congress Pkwy - Michigan and Wells Landscape & LED preservation,117050.0,ward1_2017_047,True,,,0.0
2,2012,Miscellaneous Other,Martin Luther King Boulevard artwork installation,30000.0,ward1_2017_048,True,,,0.0
2,2012,Sidewalk,ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S),29712.0,ward1_2017_049,True,,,0.0
2,2012,Sidewalk,ON N FRANCISCO AVE FROM W WARREN BV (23 N) TO W,3797.0,ward1_2017_050,True,,,0.0
2,2012,Sidewalk,ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S,21113.0,ward1_2017_051,True,,,0.0
2,2012,Sidewalk,800 S STATE ST,3394.0,ward1_2017_052,True,41.89667739281364,-87.62819939217572,0.88
2,2012,Sidewalk,ON N CALIFORNIA AVE FROM W WASHINGTON BV (100 N),215.0,ward1_2017_053,True,,,0.0
2,2012,Sidewalk,ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN,19182.0,ward1_2017_054,True,,,0.0
2,2012,Street Resurfacing,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE,107489.0,ward1_2017_055,True,41.774722288525346,-87.66165050788973,0.88
2,2012,Street Resurfacing,ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S,66167.0,ward1_2017_056,True,,,0.0
2,2012,Street Resurfacing,ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead,135686.0,ward1_2017_057,True,,,0.0
2,2012,Street Resurfacing,ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W,35504.0,ward1_2017_058,True,,,0.0
2,2012,Street Resurfacing,ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W,108718.0,ward1_2017_059,True,,,0.0
2,2012,Floodlight,ON LAKE FROM N ALBANY AV (3100 W) TO N,5500.0,ward1_2017_060,True,,,0.0
2,2012,Left-Turn Arrow,S CLARK ST & W HARRISON ST,11500.0,ward1_2017_061,True,41.874521632735544,-87.63067547794996,0.95
2,2012,Street Light Piggy Back,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S,5400.0,ward1_2017_062,True,,,0.0
2,2012,Street Light Piggy Back,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),8100.0,ward1_2017_063,True,,,0.0
