ward,year,category,location,cost
19,2017,Alley Apron,1519 W 105TH ST,12601.28
19,2017,Curb & Gutter,W 116TH ST & S ST LOUIS AVE,10341.67
19,2017,Curb & Gutter,S CAMPBELL AVE & W 112TH ST,10378.67
19,2017,Curb & Gutter,ON W 98TH ST FROM S HOYNE AVE (2100 W) TO S SEELEY AVE,29923.79
19,2017,Unknown,50/50 Neighborhood Arts Project,8000.0
19,2017,Street Resurfacing,ON S TROY ST FROM W 109TH ST (10900 S) TO W 111TH ST,126205.73
19,2017,Street Resurfacing,ON S RIDGEWAY AVE FROM 10600 S TO W 107TH ST,31705.91
19,2017,Street Resurfacing,ON S OAKLEY BLVD FROM W 99TH ST (9900 S) TO W 100TH ST,39841.0
19,2017,Street Resurfacing,ON S BELL AVE FROM W 106TH ST (10600 S) TO W 107TH ST,55259.77
19,2017,Street Resurfacing,ON S DAMEN AVE FROM W 95TH ST (9500 S) TO W 96TH ST,33625.6
19,2017,Street Resurfacing,TO W 103RD ST,53079.32
19,2017,Street Resurfacing,ON E 98TH ST FROM S DAMEN AVE (2000 W) TO S HOYNE AVE,30576.84
19,2017,Street Resurfacing,W 104TH PL & S MAPLEWOOD AVE,20148.15
19,2017,Street Resurfacing,ON S LEAVITT ST FROM W 93RD ST (9300 S) TO W 92ND PL,12392.56
