ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
49,2017,Alley Apron,1440 W FARWELL AVE N GREENVIEW AVE & W TOUHY AVE&N GLENWOOD AVE & W ESTES,10839.48,ward1_2017_001,True,42.01275187687171,-87.66802728190676,0.95
49,2017,Alley Apron,AVE,10217.98,ward1_2017_002,True,,,0.0
49,2017,Alley Apron,1508 W ESTES AVE N CLARK ST & W COLUMBIA AVE&N ASHLAND AVE & W NORTH SHORE,11125.51,ward1_2017_003,True,42.004390173301495,-87.67278063694566,0.95
49,2017,Alley Resurfacing,AVE N SHERIDAN RD & W COLUMBIA AVE&N LAKEWOOD AVE & W NORTH,35060.43,ward1_2017_004,True,42.00461716762466,-87.66085125640188,0.95
49,2017,Alley Resurfacing,SHORE AVE,49234.49,ward1_2017_005,True,,,0.0
49,2017,Alley Resurfacing,N SHERIDAN RD & W FARWELL AVE&N SHERIDAN RD & W LUNT AVE,44267.8,ward1_2017_006,True,41.999654664971075,-87.66031197467728,0.9
49,2017,Alley Resurfacing,N ASHLAND BLVD & W FARWELL AVE&N CLARK ST & W PRATT BLVD,56520.52,ward1_2017_007,True,42.00439433748288,-87.67138120341288,0.9
49,2017,Alley Resurfacing,6951 N SHERIDAN RD W DEVON AVE & N WAYNE AVE&W ARTHUR AVE & N GLENWOOD,35967.17,ward1_2017_008,True,41.99814870060441,-87.66425127522662,0.95
49,2017,Alley Resurfacing,AVE:1340 W DEVON AVE,61867.86,ward1_2017_009,True,,,0.0
49,2017,Alley Resurfacing,N CLARK ST & W ALBION AVE&N ASHLAND AVE & W WALLEN AVE,3402.36,ward1_2017_010,True,41.999092776530624,-87.6709209301795,0.9
49,2017,Alley Resurfacing,1440 W FARWELL AVE N SHERIDAN RD & W COLUMBIA AVE&N LAKEWOOD AVE & W NORTH,23243.16,ward1_2017_011,True,42.00461716762466,-87.66085125640188,0.95
49,2017,Concrete Alley,1836 W LUNT AVE,3367.89,ward1_2017_012,True,42.00922746,-87.67732082,0.97
49,2017,Curb & Gutter,6969 N RAVENSWOOD AVE,12385.94,ward1_2017_013,True,42.00875584,-87.67494173,0.97
49,2017,Floodlight,1800 W ESTES AVE:1800 W GREENLEAF AVE,4100.0,ward1_2017_014,True,,,0.0
49,2017,Unknown,Morse and northbound Loyola stations 1520 W JARVIS AVE:1400 W MORSE AVE:6515 N SHERIDAN RD,9000.0,ward1_2017_015,True,,,0.0
49,2017,Unknown,Learning Garden at Gale Academy 1631 W JONQUIL TER,120000.0,ward1_2017_016,True,,,0.0
49,2017,Unknown,Miscellaneous CDOT Projects (2017) 7637 N PAULINA ST,3191.89,ward1_2017_017,True,,,0.0
49,2017,Unknown,50/50 Neighborhood Arts Program,10000.0,ward1_2017_018,True,,,0.0
49,2017,Sidewalk,1327 W GREENLEAF AVE,6909.71,ward1_2017_019,True,42.0100663,-87.66360791,0.97
49,2017,Sidewalk,1412-1418 W ARTHUR AVE,9007.09,ward1_2017_020,True,,,0.0
49,2017,Sidewalk,1766 W MORSE AVE,3873.34,ward1_2017_021,True,42.00798476,-87.67485437,0.97
49,2017,Sidewalk,1911-1921 W MORSE AVE,11091.5,ward1_2017_022,True,,,0.0
49,2017,Sidewalk,1541-1549 W SHERWIN AVE,5809.92,ward1_2017_023,True,,,0.0
49,2017,Sidewalk,1510 W CHASE AVE,5937.38,ward1_2017_024,True,42.013871356833455,-87.66845752603783,0.88
49,2017,Sidewalk,7321 N OAKLEY AVE,2897.29,ward1_2017_025,True,42.0147768,-87.68723387,0.97
49,2017,Sidewalk,7329-7331 N OAKLEY AVE,5239.24,ward1_2017_026,True,,,0.0
49,2017,Unknown,ASHLAND AVE (1600 W) TO N BOSWORTH AVE,214000.0,ward1_2017_027,True,,,0.0
49,2017,Street Resurfacing,AVE ON N RAVENSWOOD AVE FROM W GREENLEAF AVE (7040 N) TO W,30791.93,ward1_2017_028,True,,,0.0
49,2017,Street Resurfacing,LUNT AVE ON N WAYNE AVE FROM W PRATT BLVD (6800 N) TO W FARWELL AVE,38380.49,ward1_2017_029,True,,,0.88
49,2017,Street Resurfacing,W BIRCHWOOD AVE & N EASTLAKE TER,17211.2,ward1_2017_030,True,42.01823143394413,-87.66425530949526,0.95
49,2017,Street Resurfacing,TER ON N PAULINA ST FROM W CHASE AVE (7300 N) TO W SHERWIN AVE,28360.99,ward1_2017_031,True,,,0.88
49,2017,Street Resurfacing,7635-7649 N EASTLAKE TER,12638.74,ward1_2017_032,True,,,0.0
