ward,year,category,location,cost,geometry_type,grammar
1,2025,Street Resurfacing,ON W MEDILL AVE FROM N TALMAN AVE (2620 W) TO N CALIFORNIA AVE,100773.05,line,street_segment
1,2025,Street Speed Hump,1400 N PAULINA ST,2440.0,unknown,single_address
1,2025,Street Speed Hump,ON N CAMPBELL AVE FROM N MILWAUKEE AVE (2020 N) TO W CHARLESTON ST,4880.0,line,street_segment
1,2025,Street Speed Hump,ON N MARSHFIELD AVE FROM W CHICAGO AVE (800 N) TO W AUGUSTA BLVD,4880.0,line,street_segment
1,2025,Street Speed Hump,ON N MOZART ST FROM W ARMITAGE AVE (2000 N) TO W PALMER ST,9760.0,line,street_segment
1,2025,Street Speed Hump,ON N RICHMOND ST FROM W ALTGELD ST (2500 N) TO W LOGAN BLVD,4880.0,line,street_segment
1,2025,Street Speed Hump,ON W ERIE ST FROM N RACINE AVE (1200 W) TO N ADA ST,2440.0,line,street_segment
1,2025,Street Speed Hump,ON W LE MOYNE ST FROM N ASHLAND AVE (1600 W) TO N WOOD ST,9760.0,line,street_segment
1,2025,Street Speed Hump,ON W SCHILLER ST FROM N HOYNE AVE (2100 W) TO N LEAVITT ST,4880.0,line,street_segment
1,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
1,2025,Unknown,WARD COMMITTED 2025 TOTAL,1492754.99,unknown,unresolvable_text
1,2025,Unknown,WARD 2025 BALANCE,7245.01,unknown,unresolvable_text
1,2025,Alley Resurfacing,N JANSSEN AVE & W BELDEN AVE&W FULLERTON AVE & N SOUTHPORT AVE,47273.12,polygon,alley_block_polygon
1,2025,Alley Resurfacing,N RACINE AVE & W DICKENS AVE&W WEBSTER AVE & N CLIFTON AVE,51323.4,polygon,alley_block_polygon
1,2025,Concrete Alley,N GREENVIEW AVE & W FULLERTON AVE&N CLYBOURN AVE & N BOSWORTH AVE,154036.73,polygon,alley_block_polygon
1,2025,Curb & Gutter,111 W DELAWARE PL; 107 E DELAWARE PL,5596.37,unknown,multi_location
1,2025,Curb & Gutter,1320 N STATE PKWY,22260.15,unknown,single_address
1,2025,Curb & Gutter,1356 N CLEVELAND AVE,5579.29,unknown,single_address
1,2025,Curb & Gutter,1514 N WELLS ST,2667.02,unknown,single_address
1,2025,Curb & Gutter,2187 N CLYBOURN AVE,13830.0,unknown,single_address
1,2025,Curb & Gutter,270 E CHESTNUT ST,11901.31,unknown,single_address
1,2025,Floodlight,777 N MICHIGAN AVE,1150.0,unknown,single_address
1,2025,Unknown,Miscellaneous CDOT Projects (2025) 1420 N DEARBORN ST,660.0,unknown,unresolvable_text
1,2025,Unknown,Miscellaneous CDOT Projects (2025) 6800 S LOOMIS BLVD,660.0,unknown,unresolvable_text
1,2025,Unknown,"teardrops at North Av and Two Acorns, East side of Wells N ON N WELLS ST FROM W DIVISION ST (1200 N) TO W NORTH AVE",279032.03,line,street_segment
1,2025,Unknown,2210 N SOUTHPORT AVE,50000.0,unknown,single_address
1,2025,Sidewalk,148 W BURTON PL,12418.85,unknown,single_address
1,2025,Sidewalk,2069 N CLYBOURN AVE,42053.26,unknown,single_address
1,2025,Sidewalk,33 E DIVISION ST,7342.31,unknown,single_address
2,2025,Street Bump Outs,E ERIE ST & N LAKE SHORE DR,22000.0,point,intersection
2,2025,Street Bump Outs,W BELDEN AVE & N MAGNOLIA AVE,70000.0,point,intersection
2,2025,Street Light Pole Painting,ON N CLARK ST FROM W NORTH AVE (1599 N) TO W LA SALLE DR,21336.0,line,street_segment
2,2025,Street Light Pole Painting,ON N CLYBOURN AVE FROM N SOUTHPORT AVE (2132 N) TO N ASHLAND AVE,38467.0,line,street_segment
2,2025,Street Light Pole Painting,ON N FAIRBANKS CT FROM E GRAND AVE (528 N) TO E ONTARIO ST,16267.0,line,street_segment
2,2025,Street Light Pole Painting,ON N LA SALLE ST FROM W NORTH AVE (1600 N) TO W EUGENIE ST,16983.0,line,street_segment
2,2025,Street Light Pole Painting,ON N STATE PKWY FROM E GOETHE ST (1300 N) TO E BURTON PL,17965.0,line,street_segment
2,2025,Street Light Pole Painting,ON W NORTH AVE FROM N NORTH PARK AVE (300 W) TO N HALSTED ST,47454.0,line,street_segment
2,2025,Street Light Upgrade,1742-1744 N CLYBOURN AVE,500.0,line,address_range
